166;0101;R.1.;2280.00;0.00;3090.032;1830.016;1710.016;1880.016;3615.016;2375.016;4395.016;6015.032;4325.038;2250.032;712.50;0.00;965.635;571.88;534.38;587.505;1129.6925;742.1925;1373.4425;1879.6975;1351.5744;703.135;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1;2018;0
167;010101;1.1 DISEÑO DE MÓDULO CON ENFOQUE DEL MÉTODO DE PROYECTO PRODUCTIVO ;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1;2018;0
168;01010101;04 MÓDULOS DE REPOSTERÍA, TEJIDO - ARTESANÍA, HIDROPONÍA - MANEJO DE CUY Y CARPINTERÍA METÁLICA;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1;2018;0
169;010103;1.3 COMPRA DE MÁQUINAS, EQUIPOS, HERRAMIENTAS ;1100.00;0.00;0.00;0.00;180.00;0.00;0.00;550.00;1600.00;0.00;0.00;0.00;343.75;0.00;0.00;0.00;56.25;0.00;0.00;171.875;500.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1;2018;0
170;01010301;CARPINTERIA METALICA;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1;2018;0
171;01010302;REPOSTERÍA Y COCINA;600.00;0.00;0.00;0.00;0.00;0.00;0.00;300.00;300.00;0.00;0.00;0.00;187.50;0.00;0.00;0.00;0.00;0.00;0.00;93.75;93.75;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1;2018;0
172;0101030201;3 KITS DE ACCESORIOS;0.00;0.00;0.00;0.00;0.00;0.00;0.00;300.00;300.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;93.75;93.75;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;206.80;0.00;36.50;204.60;152.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;63.6307;0.00;11.128;61.0927;45.3865;1;2018;1
173;01010303;TEJIDO Y ARTESANÍA;500.00;0.00;0.00;0.00;180.00;0.00;0.00;250.00;1300.00;0.00;0.00;0.00;156.25;0.00;0.00;0.00;56.25;0.00;0.00;78.125;406.25;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1;2018;0
174;0101030301;15 KITS DE HERRAMIENTAS;0.00;0.00;0.00;0.00;0.00;0.00;0.00;150.00;600.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;46.875;187.50;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;291.00;95.00;200.00;9.30;154.40;0.00;0.00;0.00;0.00;0.00;0.00;0.00;89.5382;28.9634;60.9756;2.7769;46.1031;1;2018;1
175;0101030302;15 INDUMENTARIA DE SEGURIDAD INDUSTRIAL;0.00;0.00;0.00;0.00;0.00;0.00;0.00;100.00;200.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;31.25;62.50;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;70.50;167.00;0.00;26.70;36.60;0.00;0.00;0.00;0.00;0.00;0.00;0.00;21.6921;50.9144;0.00;7.9725;10.9286;1;2018;1
